project name,AGE,noFiles,LoC,LoCbyFiles,noCommits,noPRs,noMergedPRs,poMergedPRs,noRejectedPRs,poRejectedPRs,ICT,PRT,IPRT,IMPRT,PoMPRTW,MICT,MPRT,MIPRT,MIMPRT,poMMPRTW,noCommiters,noPRsDF,poPRsDF,forks,commitsByPR,commentsByPR,changedFilesByPR,additionsByPR,deletionsByPR,target
paperclip,4068,164,15919,97.0670731707317,2279,813,210,0.25830258302583026,584,0.7183271832718328,39.074444444444445,73,92.8575,351.4972222222222,0.062704990062707,1.4902777777777778,99,51.37222222222222,117.04388888888889,0.0,578,0,0.0,2438,2.140221402214022,3.2718327183271834,3.0492004920049203,43.981549815498155,18.031980319803196,NCP
carrierwave,3928,127,15380,121.10236220472441,1226,734,359,0.4891008174386921,367,0.5,63.147222222222226,32,103.70222222222222,211.29666666666668,0.17576324968469142,17.01638888888889,0,56.39666666666667,60.730000000000004,0.07142857142857142,465,704,95.91280653950953,1650,1.9087193460490464,2.9168937329700273,3.2329700272479562,63.701634877384194,21.159400544959126,NCP
qtile,3926,486,49338,101.51851851851852,2722,757,193,0.25495376486129456,546,0.7212681638044914,35.08083333333333,23,100.75444444444445,395.7841666666667,0.11122295628394277,1.0883333333333334,1,41.82055555555556,120.17694444444444,0.0,229,127,16.77675033025099,656,4.025099075297226,2.3976221928665784,4.874504623513871,143.7899603698811,56.86525759577279,NCP
reek,3920,348,24009,68.99137931034483,4290,845,467,0.5526627218934911,358,0.4236686390532544,17.699444444444445,7,89.86055555555555,142.02694444444444,0.3138423190538774,0.09305555555555556,0,21.393333333333334,26.3275,0.25,95,768,90.88757396449704,274,1.4284023668639054,3.6733727810650887,7.775147928994083,79.04970414201183,47.98816568047337,NCP
rhodes,3907,12385,2766256,223.35534921275737,9747,747,352,0.47121820615796517,387,0.5180722891566265,7.697777777777778,34,100.37027777777777,212.26583333333332,0.25883343043575324,0.8133333333333334,0,23.904166666666665,53.63777777777778,0.14285714285714285,116,610,81.6599732262383,240,508.9785809906292,0.6492637215528781,644.4082998661312,95082.65060240965,48128.57429718875,NCP
rack,3810,123,16342,132.8617886178862,1916,847,340,0.4014167650531287,427,0.5041322314049587,46.14972222222222,60,90.11027777777778,222.61583333333334,0.09014642004271313,4.7775,119,43.676944444444445,42.783055555555556,0.0,522,1,0.11806375442739078,1688,1.7225501770956317,3.204250295159386,3.094451003541913,31.814639905548997,15.859504132231406,CP
sinatra,3789,227,22431,98.81497797356828,3867,817,439,0.5373317013463892,338,0.41370869033047736,26.440555555555555,30,93.83194444444445,171.80777777777777,0.18073185808128725,1.066111111111111,25,39.2875,35.46333333333333,0.1,462,0,0.0,2101,4.615667074663403,2.313341493268054,3.138310893512852,184.74785801713585,89.18727050183598,CP
chef,3788,2302,239114,103.87228496959166,20921,3883,2235,0.5755858872006181,1551,0.39943342776203966,3.7358333333333333,24,14.761388888888888,19.489166666666666,0.18410111249946826,0.07416666666666667,0,3.359722222222222,2.86,0.07142857142857142,496,1,0.02575328354365182,2574,4.916559361318568,3.3347926860674737,7.458150914241566,143.52304918877158,86.55137780066958,CP
akka,3756,3598,584934,162.57198443579767,34678,8097,4923,0.6080029640607633,2907,0.35902185994812896,2.5997222222222223,8,9.42361111111111,15.464722222222223,0.3657199072526109,0.335,3,2.576111111111111,1.4002777777777777,0.375,946,2,0.02470050636038039,3508,4.670989255279733,6.486105965172286,16.37458317895517,458.45967642336666,170.63492651599358,CP
slick,3752,348,33078,95.05172413793103,2477,817,359,0.4394124847001224,398,0.48714810281517745,28.198333333333334,65,85.2975,188.3825,0.08461723890908987,2.148888888888889,2,29.224444444444444,26.224444444444444,0.0,216,1,0.12239902080783352,608,2.784577723378213,3.2460220318237454,8.064871481028153,145.4969400244798,68.22521419828641,CP
capistrano,3746,210,18377,87.50952380952381,1900,826,397,0.48062953995157387,396,0.4794188861985472,63.775,33,92.4075,188.55138888888888,0.13643814849712066,5.359444444444445,0,34.01638888888889,27.746944444444445,0.0,451,750,90.79903147699758,1826,3.7857142857142856,3.509685230024213,3.205811138014528,85.53510895883777,15.57869249394673,CP
smart_sa,3734,601,127391,211.96505823627288,1637,731,523,0.7154582763337893,192,0.26265389876880985,39.45055555555555,1,53.68666666666667,71.58138888888888,0.5941312121136684,5.221388888888889,0,24.89638888888889,24.136944444444445,0.75,9,730,99.86320109439124,0,1.13406292749658,0.06566347469220246,1.508891928864569,8.880984952120382,23.336525307797537,NCP
zookeeper,3717,1249,182618,146.2113690952762,4368,952,0,0.0,860,0.9033613445378151,23.22888888888889,126,64.07694444444445,0,0.0,1.8575,98,16.796388888888888,0,0.0,267,600,63.02521008403361,6934,33.78886554621849,4.927521008403361,44.84348739495798,4358.691176470588,1298.436974789916,NCP
opal,3689,906,110937,122.44701986754967,8155,959,447,0.46611053180396245,464,0.48383733055265904,9.335,18,69.77333333333334,149.6977777777778,0.25649929038216723,0.2786111111111111,0,21.148055555555555,43.4975,0.1875,123,934,97.39311783107404,335,3.2638164754953074,3.3847758081334725,5.981230448383733,182.17518248175182,111.56725755995829,CP
