project_id,tw quantity,pc quantity,tw with pc quantity,tw_with_pc_percentage,cr_improvement_percentage_max,cr_improvement_percentage_mean,cr_improvement_percentage_min,cr_improvement_percentage_std,ipe_improvement_percentage_max,ipe_improvement_percentage_mean,ipe_improvement_percentage_min,ipe_improvement_percentage_std,tw_equal_cr_quantity,tw_improves_cr_quantity,tw_improves_cr_percentage,tw_equal_cr_percentage,tw_equal_ipe_quantity,tw_improves_ipe_quantity,tw_worsen_ipe_quantity,tw_improves_ipe_percentage,tw_equal_ipe_percentage,tw_improves_worsen_percentage
719,166,406,8,4.82,1100,200,0,370.33,300,68.92,5.41,99.18,3,5,62.5,37.5,0,8,0,100,0,0
42,166,131,8,4.82,400,62.5,0,140.79,1566.67,240.45,0,543.63,6,2,25,75,1,7,0,87.5,12.5,0
390,228,80,11,4.82,100,27.27,0,46.71,450,96.84,0,134.91,8,3,27.27272727,72.72727273,2,9,0,81.81818182,18.18181818,0
934,83,80,4,4.82,0,0,0,0,400,206.67,26.67,173.08,4,0,0,100,0,4,0,100,0,0
535,125,28,6,4.8,100,66.67,0,51.64,320,136.97,0,137.53,2,4,66.66666667,33.33333333,1,5,0,83.33333333,16.66666667,0
106,105,118,5,4.76,100,40,0,54.77,940,390.83,47.17,461.38,3,2,40,60,0,5,0,100,0,0
983,64,32,3,4.69,50,16.67,0,28.87,116.67,91.36,42.86,42.02,2,1,33.33333333,66.66666667,0,3,0,100,0,0
542,64,8,3,4.69,0,0,0,0,300,141.8,11.11,146.4,3,0,0,100,0,3,0,100,0,0
1,130,1889,6,4.62,400,100,0,167.33,114.29,32.58,0,41.43,4,2,33.33333333,66.66666667,1,5,0,83.33333333,16.66666667,0
555,87,16,4,4.6,0,0,0,0,900,239.62,0,440.54,4,0,0,100,1,3,0,75,25,0
798,132,113,6,4.55,200,83.33,0,75.28,100,49.97,-11.11,48.58,2,4,66.66666667,33.33333333,0,5,1,83.33333333,0,16.66666667
75,154,10,7,4.55,200,57.14,0,97.59,150,71.6,0,51.78,5,2,28.57142857,71.42857143,1,6,0,85.71428571,14.28571429,0
267,44,7,2,4.55,200,100,0,141.42,1081.82,774.25,466.67,434.98,1,1,50,50,0,2,0,100,0,0
1027,22,2,1,4.55,0,0,0,0,0,0,0,0,1,0,0,100,0,1,0,100,0,0
73,160,354,7,4.38,200,42.86,0,78.68,158.49,73.35,0,74.81,5,2,28.57142857,71.42857143,2,5,0,71.42857143,28.57142857,0
788,92,344,4,4.35,100,25,0,50,160,53.02,0,73.91,3,1,25,75,1,3,0,75,25,0
41,184,70,8,4.35,200,75,0,70.71,1300,185.71,-28.36,451.04,3,5,62.5,37.5,0,7,1,87.5,0,12.5
34,187,7103,8,4.28,200,37.5,0,74.4,300,66.28,0,98.5,6,2,25,75,2,6,0,75,25,0
646,71,30,3,4.23,800,300,0,435.89,100,60.6,13.04,44.05,1,2,66.66666667,33.33333333,0,3,0,100,0,0
441,166,280,7,4.22,100,50,0,50,60,17.8,-8.33,27.07,3,4,57.14285714,42.85714286,2,4,1,57.14285714,28.57142857,14.28571429
233,72,85,3,4.17,0,0,0,0,62.16,41.27,3.95,32.39,3,0,0,100,0,3,0,100,0,0
399,223,287,9,4.04,100,16.67,0,35.36,400,88.19,0,126.73,7,2,22.22222222,77.77777778,1,8,0,88.88888889,11.11111111,0
589,99,130,4,4.04,0,0,0,0,133.33,59.35,0,64.15,4,0,0,100,1,3,0,75,25,0
391,99,24,4,4.04,600,150,0,300,800,217.08,7.14,388.77,3,1,25,75,0,4,0,100,0,0
173,99,23,4,4.04,600,275,0,250,263.64,190.91,0,127.44,1,3,75,25,1,3,0,75,25,0
155,100,16,4,4,100,25,0,50,500,260.42,41.67,191.89,3,1,25,75,0,4,0,100,0,0
674,25,10,1,4,0,0,0,0,0,0,0,0,0,1,100,0,0,1,0,100,0,0
736,176,54,7,3.98,200,57.14,0,78.68,1100,181.63,0,407.06,4,3,42.85714286,57.14285714,4,3,0,42.85714286,57.14285714,0
870,102,24,4,3.92,0,0,0,0,150,77.5,0,83.82,4,0,0,100,1,3,0,75,25,0
883,102,8,4,3.92,0,0,0,0,300,124.29,14.29,128.91,4,0,0,100,0,4,0,100,0,0
38,128,107,5,3.91,0,0,0,0,280,66.19,0,119.9,5,0,0,100,1,4,0,80,20,0
957,26,2,1,3.85,0,0,0,0,0,0,0,0,1,0,0,100,0,1,0,100,0,0
208,80,40,3,3.75,200,100,0,100,64.52,35.99,19.93,24.77,1,2,66.66666667,33.33333333,0,3,0,100,0,0
807,134,42,5,3.73,300,80,0,130.38,716,228.33,0,295.19,3,2,40,60,1,4,0,80,20,0
260,54,5,2,3.7,0,0,0,0,487.5,293.75,100,274,2,0,0,100,0,2,0,100,0,0
700,217,88,8,3.69,100,12.5,0,35.36,600,123.15,-7.69,224.37,7,1,12.5,87.5,3,4,1,50,37.5,12.5
889,55,8,2,3.64,0,0,0,0,245.45,153.98,62.5,129.37,2,0,0,100,0,2,0,100,0,0
